Input name	Full structure level	sn-DB-position level	sn-position level	Molecular species level	Species level
TG(16:1(9Z)/20:0/18:3(9Z,12Z,15Z))	TG(16:1(9Z)/20:0/18:3(9Z,12Z,15Z))	TG(16:1(9)/20:0/18:3(9,12,15))	TG(16:1/20:0/18:3)	TG(16:1_18:3_20:0)	TG(54:4)
TG(16:1(9Z)/20:0/18:4(6Z,9Z,12Z,15Z))	TG(16:1(9Z)/20:0/18:4(6Z,9Z,12Z,15Z))	TG(16:1(9)/20:0/18:4(6,9,12,15))	TG(16:1/20:0/18:4)	TG(16:1_18:4_20:0)	TG(54:5)
TG(16:1(9Z)/20:0/o-18:0)					
TG(16:1(9Z)/22:0/18:1(11Z))	TG(16:1(9Z)/22:0/18:1(11Z))	TG(16:1(9)/22:0/18:1(11))	TG(16:1/22:0/18:1)	TG(16:1_18:1_22:0)	TG(56:2)
TG(16:1(9Z)/22:0/18:1(9Z))	TG(16:1(9Z)/22:0/18:1(9Z))	TG(16:1(9)/22:0/18:1(9))	TG(16:1/22:0/18:1)	TG(16:1_18:1_22:0)	TG(56:2)
TG(16:1(9Z)/22:0/20:1(11Z))	TG(16:1(9Z)/22:0/20:1(11Z))	TG(16:1(9)/22:0/20:1(11))	TG(16:1/22:0/20:1)	TG(16:1_20:1_22:0)	TG(58:2)
TG(16:1(9Z)/22:0/20:3(5Z,8Z,11Z))	TG(16:1(9Z)/22:0/20:3(5Z,8Z,11Z))	TG(16:1(9)/22:0/20:3(5,8,11))	TG(16:1/22:0/20:3)	TG(16:1_20:3_22:0)	TG(58:4)
TG(16:1(9Z)/22:0/20:2n6)					
TG(16:1(9Z)/22:0/20:3n6)					
TG(16:1(9Z)/22:0/22:2(13Z,16Z))	TG(16:1(9Z)/22:0/22:2(13Z,16Z))	TG(16:1(9)/22:0/22:2(13,16))	TG(16:1/22:0/22:2)	TG(16:1_22:0_22:2))	TG(60:3)
TG(16:1(9Z)/22:0/22:4(7Z,10Z,13Z,16Z))	TG(16:1(9Z)/22:0/22:4(7Z,10Z,13Z,16Z))	TG(16:1(9)/22:0/22:4(7,10,13,16))	TG(16:1/22:0/22:4)	TG(16:1_22:0_22:4))	TG(60:5)
TG(16:1(9Z)/22:0/22:5(4Z,7Z,10Z,13Z,16Z))	TG(16:1(9Z)/22:0/22:5(4Z,7Z,10Z,13Z,16Z))	TG(16:1(9)/22:0/22:5(4,7,10,13,16))	TG(16:1/22:0/22:5)	TG(16:1_22:0_22:5))	TG(60:6)
TG(16:1(9Z)/22:0/22:5(7Z,10Z,13Z,16Z,19Z))	TG(16:1(9Z)/22:0/22:5(7Z,10Z,13Z,16Z,19Z))	TG(16:1(9)/22:0/22:5(7,10,13,16,19))	TG(16:1/22:0/22:5)	TG(16:1_22:0_22:5))	TG(60:6)
TG(16:1(9Z)/22:0/o-18:0)					
TG(16:1(9Z)/24:0/18:1(11Z))	TG(16:1(9Z)/24:0/18:1(11Z))	TG(16:1(9)/24:0/18:1(11))	TG(16:1/24:0/18:1)	TG(16:1_18:1_24:0)	TG(58:2)
TG(16:1(9Z)/24:0/18:1(9Z))	TG(16:1(9Z)/24:0/18:1(9Z))	TG(16:1(9)/24:0/18:1(9))	TG(16:1/24:0/18:1)	TG(16:1_18:1_24:0)	TG(58:2)
TG(16:1(9Z)/24:0/20:1(11Z))	TG(16:1(9Z)/24:0/20:1(11Z))	TG(16:1(9)/24:0/20:1(11))	TG(16:1/24:0/20:1)	TG(16:1_20:1_24:0)	TG(60:2)
TG(16:1(9Z)/24:0/20:3(5Z,8Z,11Z))	TG(16:1(9Z)/24:0/20:3(5Z,8Z,11Z))	TG(16:1(9)/24:0/20:3(5,8,11))	TG(16:1/24:0/20:3)	TG(16:1_20:3_24:0)	TG(60:4)
TG(16:1(9Z)/24:0/18:2(9Z,12Z))	TG(16:1(9Z)/24:0/18:2(9Z,12Z))	TG(16:1(9)/24:0/18:2(9,12))	TG(16:1/24:0/18:2)	TG(16:1_18:2_24:0)	TG(58:3)
TG(16:1(9Z)/24:0/18:3(6Z,9Z,12Z))	TG(16:1(9Z)/24:0/18:3(6Z,9Z,12Z))	TG(16:1(9)/24:0/18:3(6,9,12))	TG(16:1/24:0/18:3)	TG(16:1_18:3_24:0)	TG(58:4)
TG(16:1(9Z)/24:0/20:2n6)					
TG(16:1(9Z)/24:0/20:3n6)					
TG(16:1(9Z)/24:0/20:4(5Z,8Z,11Z,14Z))	TG(16:1(9Z)/24:0/20:4(5Z,8Z,11Z,14Z))	TG(16:1(9)/24:0/20:4(5,8,11,14))	TG(16:1/24:0/20:4)	TG(16:1_20:4_24:0)	TG(60:5)
TG(16:1(9Z)/24:0/18:3(9Z,12Z,15Z))	TG(16:1(9Z)/24:0/18:3(9Z,12Z,15Z))	TG(16:1(9)/24:0/18:3(9,12,15))	TG(16:1/24:0/18:3)	TG(16:1_18:3_24:0)	TG(58:4)
TG(16:1(9Z)/24:0/20:4(8Z,11Z,14Z,17Z))	TG(16:1(9Z)/24:0/20:4(8Z,11Z,14Z,17Z))	TG(16:1(9)/24:0/20:4(8,11,14,17))	TG(16:1/24:0/20:4)	TG(16:1_20:4_24:0)	TG(60:5)
TG(16:1(9Z)/24:0/20:5(5Z,8Z,11Z,14Z,17Z))	TG(16:1(9Z)/24:0/20:5(5Z,8Z,11Z,14Z,17Z))	TG(16:1(9)/24:0/20:5(5,8,11,14,17))	TG(16:1/24:0/20:5)	TG(16:1_20:5_24:0)	TG(60:6)
TG(16:1(9Z)/14:1(9Z)/22:1(13Z))	TG(16:1(9Z)/14:1(9Z)/22:1(13Z))	TG(16:1(9)/14:1(9)/22:1(13))	TG(16:1/14:1/22:1)	TG(14:1_16:1_22:1))	TG(52:3)
TG(16:1(9Z)/14:1(9Z)/24:1(15Z))	TG(16:1(9Z)/14:1(9Z)/24:1(15Z))	TG(16:1(9)/14:1(9)/24:1(15))	TG(16:1/14:1/24:1)	TG(14:1_16:1_24:1))	TG(54:3)
TG(16:1(9Z)/16:1(9Z)/20:3(5Z,8Z,11Z))	TG(16:1(9Z)/16:1(9Z)/20:3(5Z,8Z,11Z))	TG(16:1(9)/16:1(9)/20:3(5,8,11))	TG(16:1/16:1/20:3)	TG(16:1_16:1_20:3))	TG(52:5)
TG(16:1(9Z)/16:1(9Z)/22:1(13Z))	TG(16:1(9Z)/16:1(9Z)/22:1(13Z))	TG(16:1(9)/16:1(9)/22:1(13))	TG(16:1/16:1/22:1)	TG(16:1_16:1_22:1))	TG(54:3)
TG(16:1(9Z)/16:1(9Z)/20:3n6)					
TG(16:1(9Z)/16:1(9Z)/22:2(13Z,16Z))	TG(16:1(9Z)/16:1(9Z)/22:2(13Z,16Z))	TG(16:1(9)/16:1(9)/22:2(13,16))	TG(16:1/16:1/22:2)	TG(16:1_16:1_22:2))	TG(54:4)
TG(16:1(9Z)/18:1(11Z)/18:1(11Z))	TG(16:1(9Z)/18:1(11Z)/18:1(11Z))	TG(16:1(9)/18:1(11)/18:1(11))	TG(16:1/18:1/18:1)	TG(16:1_18:1_18:1))	TG(52:3)
TG(16:1(9Z)/18:1(11Z)/18:1(9Z))	TG(16:1(9Z)/18:1(11Z)/18:1(9Z))	TG(16:1(9)/18:1(11)/18:1(9))	TG(16:1/18:1/18:1)	TG(16:1_18:1_18:1))	TG(52:3)
TG(16:1(9Z)/18:1(11Z)/20:1(11Z))	TG(16:1(9Z)/18:1(11Z)/20:1(11Z))	TG(16:1(9)/18:1(11)/20:1(11))	TG(16:1/18:1/20:1)	TG(16:1_18:1_20:1))	TG(54:3)
TG(16:1(9Z)/18:1(11Z)/20:3(5Z,8Z,11Z))	TG(16:1(9Z)/18:1(11Z)/20:3(5Z,8Z,11Z))	TG(16:1(9)/18:1(11)/20:3(5,8,11))	TG(16:1/18:1/20:3)	TG(16:1_18:1_20:3))	TG(54:5)
TG(16:1(9Z)/18:1(11Z)/24:1(15Z))	TG(16:1(9Z)/18:1(11Z)/24:1(15Z))	TG(16:1(9)/18:1(11)/24:1(15))	TG(16:1/18:1/24:1)	TG(16:1_18:1_24:1))	TG(58:3)
TG(16:1(9Z)/18:1(11Z)/18:2(9Z,12Z))	TG(16:1(9Z)/18:1(11Z)/18:2(9Z,12Z))	TG(16:1(9)/18:1(11)/18:2(9,12))	TG(16:1/18:1/18:2)	TG(16:1_18:1_18:2))	TG(52:4)
TG(16:1(9Z)/18:1(11Z)/18:3(6Z,9Z,12Z))	TG(16:1(9Z)/18:1(11Z)/18:3(6Z,9Z,12Z))	TG(16:1(9)/18:1(11)/18:3(6,9,12))	TG(16:1/18:1/18:3)	TG(16:1_18:1_18:3))	TG(52:5)
TG(16:1(9Z)/18:1(11Z)/20:2n6)					
TG(16:1(9Z)/18:1(11Z)/20:3n6)					
TG(16:1(9Z)/18:1(11Z)/18:3(9Z,12Z,15Z))	TG(16:1(9Z)/18:1(11Z)/18:3(9Z,12Z,15Z))	TG(16:1(9)/18:1(11)/18:3(9,12,15))	TG(16:1/18:1/18:3)	TG(16:1_18:1_18:3))	TG(52:5)
TG(16:1(9Z)/18:1(9Z)/18:1(11Z))	TG(16:1(9Z)/18:1(9Z)/18:1(11Z))	TG(16:1(9)/18:1(9)/18:1(11))	TG(16:1/18:1/18:1)	TG(16:1_18:1_18:1))	TG(52:3)
TG(16:1(9Z)/18:1(9Z)/20:3(5Z,8Z,11Z))	TG(16:1(9Z)/18:1(9Z)/20:3(5Z,8Z,11Z))	TG(16:1(9)/18:1(9)/20:3(5,8,11))	TG(16:1/18:1/20:3)	TG(16:1_18:1_20:3))	TG(54:5)
TG(16:1(9Z)/18:1(9Z)/24:1(15Z))	TG(16:1(9Z)/18:1(9Z)/24:1(15Z))	TG(16:1(9)/18:1(9)/24:1(15))	TG(16:1/18:1/24:1)	TG(16:1_18:1_24:1))	TG(58:3)
TG(16:1(9Z)/18:1(9Z)/18:3(6Z,9Z,12Z))	TG(16:1(9Z)/18:1(9Z)/18:3(6Z,9Z,12Z))	TG(16:1(9)/18:1(9)/18:3(6,9,12))	TG(16:1/18:1/18:3)	TG(16:1_18:1_18:3))	TG(52:5)
TG(16:1(9Z)/18:1(9Z)/20:2n6)					
TG(16:1(9Z)/18:1(9Z)/20:3n6)					
TG(16:1(9Z)/18:1(9Z)/18:3(9Z,12Z,15Z))	TG(16:1(9Z)/18:1(9Z)/18:3(9Z,12Z,15Z))	TG(16:1(9)/18:1(9)/18:3(9,12,15))	TG(16:1/18:1/18:3)	TG(16:1_18:1_18:3))	TG(52:5)
TG(16:1(9Z)/20:1(11Z)/18:1(11Z))	TG(16:1(9Z)/20:1(11Z)/18:1(11Z))	TG(16:1(9)/20:1(11)/18:1(11))	TG(16:1/20:1/18:1)	TG(16:1_18:1_20:1)	TG(54:3)
TG(16:1(9Z)/20:1(11Z)/18:1(9Z))	TG(16:1(9Z)/20:1(11Z)/18:1(9Z))	TG(16:1(9)/20:1(11)/18:1(9))	TG(16:1/20:1/18:1)	TG(16:1_18:1_20:1)	TG(54:3)
TG(16:1(9Z)/20:1(11Z)/24:1(15Z))	TG(16:1(9Z)/20:1(11Z)/24:1(15Z))	TG(16:1(9)/20:1(11)/24:1(15))	TG(16:1/20:1/24:1)	TG(16:1_20:1_24:1))	TG(60:3)
TG(16:1(9Z)/20:1(11Z)/18:2(9Z,12Z))	TG(16:1(9Z)/20:1(11Z)/18:2(9Z,12Z))	TG(16:1(9)/20:1(11)/18:2(9,12))	TG(16:1/20:1/18:2)	TG(16:1_18:2_20:1)	TG(54:4)
TG(16:1(9Z)/20:1(11Z)/18:3(6Z,9Z,12Z))	TG(16:1(9Z)/20:1(11Z)/18:3(6Z,9Z,12Z))	TG(16:1(9)/20:1(11)/18:3(6,9,12))	TG(16:1/20:1/18:3)	TG(16:1_18:3_20:1)	TG(54:5)
TG(16:1(9Z)/20:1(11Z)/22:2(13Z,16Z))	TG(16:1(9Z)/20:1(11Z)/22:2(13Z,16Z))	TG(16:1(9)/20:1(11)/22:2(13,16))	TG(16:1/20:1/22:2)	TG(16:1_20:1_22:2))	TG(58:4)
TG(16:1(9Z)/20:1(11Z)/18:3(9Z,12Z,15Z))	TG(16:1(9Z)/20:1(11Z)/18:3(9Z,12Z,15Z))	TG(16:1(9)/20:1(11)/18:3(9,12,15))	TG(16:1/20:1/18:3)	TG(16:1_18:3_20:1)	TG(54:5)
TG(16:1(9Z)/20:3(5Z,8Z,11Z)/18:1(11Z))	TG(16:1(9Z)/20:3(5Z,8Z,11Z)/18:1(11Z))	TG(16:1(9)/20:3(5,8,11)/18:1(11))	TG(16:1/20:3/18:1)	TG(16:1_18:1_20:3)	TG(54:5)
TG(16:1(9Z)/20:3(5Z,8Z,11Z)/18:1(9Z))	TG(16:1(9Z)/20:3(5Z,8Z,11Z)/18:1(9Z))	TG(16:1(9)/20:3(5,8,11)/18:1(9))	TG(16:1/20:3/18:1)	TG(16:1_18:1_20:3)	TG(54:5)
TG(16:1(9Z)/20:3(5Z,8Z,11Z)/24:1(15Z))	TG(16:1(9Z)/20:3(5Z,8Z,11Z)/24:1(15Z))	TG(16:1(9)/20:3(5,8,11)/24:1(15))	TG(16:1/20:3/24:1)	TG(16:1_20:3_24:1))	TG(60:5)
TG(16:1(9Z)/20:3(5Z,8Z,11Z)/20:5(5Z,8Z,11Z,14Z,17Z))	TG(16:1(9Z)/20:3(5Z,8Z,11Z)/20:5(5Z,8Z,11Z,14Z,17Z))	TG(16:1(9)/20:3(5,8,11)/20:5(5,8,11,14,17))	TG(16:1/20:3/20:5)	TG(16:1_20:3_20:5))	TG(56:9)
TG(16:1(9Z)/20:3(5Z,8Z,11Z)/o-18:0)					
TG(16:1(9Z)/22:1(13Z)/20:1(11Z))	TG(16:1(9Z)/22:1(13Z)/20:1(11Z))	TG(16:1(9)/22:1(13)/20:1(11))	TG(16:1/22:1/20:1)	TG(16:1_20:1_22:1)	TG(58:3)
TG(16:1(9Z)/22:1(13Z)/20:2n6)					
TG(16:1(9Z)/22:1(13Z)/22:2(13Z,16Z))	TG(16:1(9Z)/22:1(13Z)/22:2(13Z,16Z))	TG(16:1(9)/22:1(13)/22:2(13,16))	TG(16:1/22:1/22:2)	TG(16:1_22:1_22:2))	TG(60:4)
TG(16:1(9Z)/22:1(13Z)/22:4(7Z,10Z,13Z,16Z))	TG(16:1(9Z)/22:1(13Z)/22:4(7Z,10Z,13Z,16Z))	TG(16:1(9)/22:1(13)/22:4(7,10,13,16))	TG(16:1/22:1/22:4)	TG(16:1_22:1_22:4))	TG(60:6)
TG(16:1(9Z)/22:1(13Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))	TG(16:1(9Z)/22:1(13Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))	TG(16:1(9)/22:1(13)/22:6(4,7,10,13,16,19))	TG(16:1/22:1/22:6)	TG(16:1_22:1_22:6))	TG(60:8)
TG(16:1(9Z)/22:1(13Z)/o-18:0)					
TG(16:1(9Z)/24:1(15Z)/18:1(11Z))	TG(16:1(9Z)/24:1(15Z)/18:1(11Z))	TG(16:1(9)/24:1(15)/18:1(11))	TG(16:1/24:1/18:1)	TG(16:1_18:1_24:1)	TG(58:3)
TG(16:1(9Z)/24:1(15Z)/18:1(9Z))	TG(16:1(9Z)/24:1(15Z)/18:1(9Z))	TG(16:1(9)/24:1(15)/18:1(9))	TG(16:1/24:1/18:1)	TG(16:1_18:1_24:1)	TG(58:3)
TG(16:1(9Z)/24:1(15Z)/20:1(11Z))	TG(16:1(9Z)/24:1(15Z)/20:1(11Z))	TG(16:1(9)/24:1(15)/20:1(11))	TG(16:1/24:1/20:1)	TG(16:1_20:1_24:1)	TG(60:3)
TG(16:1(9Z)/24:1(15Z)/20:3(5Z,8Z,11Z))	TG(16:1(9Z)/24:1(15Z)/20:3(5Z,8Z,11Z))	TG(16:1(9)/24:1(15)/20:3(5,8,11))	TG(16:1/24:1/20:3)	TG(16:1_20:3_24:1)	TG(60:5)
TG(16:1(9Z)/24:1(15Z)/18:2(9Z,12Z))	TG(16:1(9Z)/24:1(15Z)/18:2(9Z,12Z))	TG(16:1(9)/24:1(15)/18:2(9,12))	TG(16:1/24:1/18:2)	TG(16:1_18:2_24:1)	TG(58:4)
TG(16:1(9Z)/24:1(15Z)/20:2n6)					
TG(16:1(9Z)/24:1(15Z)/20:3n6)					
TG(16:1(9Z)/24:1(15Z)/20:4(5Z,8Z,11Z,14Z))	TG(16:1(9Z)/24:1(15Z)/20:4(5Z,8Z,11Z,14Z))	TG(16:1(9)/24:1(15)/20:4(5,8,11,14))	TG(16:1/24:1/20:4)	TG(16:1_20:4_24:1)	TG(60:6)
TG(16:1(9Z)/24:1(15Z)/20:4(8Z,11Z,14Z,17Z))	TG(16:1(9Z)/24:1(15Z)/20:4(8Z,11Z,14Z,17Z))	TG(16:1(9)/24:1(15)/20:4(8,11,14,17))	TG(16:1/24:1/20:4)	TG(16:1_20:4_24:1)	TG(60:6)
TG(16:1(9Z)/24:1(15Z)/o-18:0)					
TG(16:1(9Z)/18:2(9Z,12Z)/24:1(15Z))	TG(16:1(9Z)/18:2(9Z,12Z)/24:1(15Z))	TG(16:1(9)/18:2(9,12)/24:1(15))	TG(16:1/18:2/24:1)	TG(16:1_18:2_24:1))	TG(58:4)
TG(16:1(9Z)/18:2(9Z,12Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))	TG(16:1(9Z)/18:2(9Z,12Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))	TG(16:1(9)/18:2(9,12)/22:6(4,7,10,13,16,19))	TG(16:1/18:2/22:6)	TG(16:1_18:2_22:6))	TG(56:9)
TG(16:1(9Z)/18:2(9Z,12Z)/o-18:0)					
TG(16:1(9Z)/18:3(6Z,9Z,12Z)/18:1(11Z))	TG(16:1(9Z)/18:3(6Z,9Z,12Z)/18:1(11Z))	TG(16:1(9)/18:3(6,9,12)/18:1(11))	TG(16:1/18:3/18:1)	TG(16:1_18:1_18:3)	TG(52:5)
TG(16:1(9Z)/18:3(6Z,9Z,12Z)/18:1(9Z))	TG(16:1(9Z)/18:3(6Z,9Z,12Z)/18:1(9Z))	TG(16:1(9)/18:3(6,9,12)/18:1(9))	TG(16:1/18:3/18:1)	TG(16:1_18:1_18:3)	TG(52:5)
TG(16:1(9Z)/18:3(6Z,9Z,12Z)/20:1(11Z))	TG(16:1(9Z)/18:3(6Z,9Z,12Z)/20:1(11Z))	TG(16:1(9)/18:3(6,9,12)/20:1(11))	TG(16:1/18:3/20:1)	TG(16:1_18:3_20:1))	TG(54:5)
TG(16:1(9Z)/18:3(6Z,9Z,12Z)/22:5(4Z,7Z,10Z,13Z,16Z))	TG(16:1(9Z)/18:3(6Z,9Z,12Z)/22:5(4Z,7Z,10Z,13Z,16Z))	TG(16:1(9)/18:3(6,9,12)/22:5(4,7,10,13,16))	TG(16:1/18:3/22:5)	TG(16:1_18:3_22:5))	TG(56:9)
TG(16:1(9Z)/18:3(6Z,9Z,12Z)/22:5(7Z,10Z,13Z,16Z,19Z))	TG(16:1(9Z)/18:3(6Z,9Z,12Z)/22:5(7Z,10Z,13Z,16Z,19Z))	TG(16:1(9)/18:3(6,9,12)/22:5(7,10,13,16,19))	TG(16:1/18:3/22:5)	TG(16:1_18:3_22:5))	TG(56:9)
TG(16:1(9Z)/20:2n6/18:1(11Z))					
TG(16:1(9Z)/20:2n6/18:1(9Z))					
TG(16:1(9Z)/20:2n6/22:1(13Z))					
TG(16:1(9Z)/20:2n6/24:1(15Z))					
TG(16:1(9Z)/20:2n6/18:2(9Z,12Z))					
TG(16:1(9Z)/20:2n6/o-18:0)					
TG(16:1(9Z)/20:3n6/18:1(11Z))					
TG(16:1(9Z)/20:3n6/18:1(9Z))					
TG(16:1(9Z)/20:3n6/24:1(15Z))					
TG(16:1(9Z)/20:3n6/20:5(5Z,8Z,11Z,14Z,17Z))					
TG(16:1(9Z)/20:3n6/o-18:0)					
TG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/24:1(15Z))	TG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/24:1(15Z))	TG(16:1(9)/20:4(5,8,11,14)/24:1(15))	TG(16:1/20:4/24:1)	TG(16:1_20:4_24:1))	TG(60:6)
TG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/20:4(8Z,11Z,14Z,17Z))	TG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/20:4(8Z,11Z,14Z,17Z))	TG(16:1(9)/20:4(5,8,11,14)/20:4(8,11,14,17))	TG(16:1/20:4/20:4)	TG(16:1_20:4_20:4))	TG(56:9)
TG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))	TG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))	TG(16:1(9)/20:4(5,8,11,14)/22:6(4,7,10,13,16,19))	TG(16:1/20:4/22:6)	TG(16:1_20:4_22:6))	TG(58:11)
TG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/o-18:0)					
TG(16:1(9Z)/22:2(13Z,16Z)/20:1(11Z))	TG(16:1(9Z)/22:2(13Z,16Z)/20:1(11Z))	TG(16:1(9)/22:2(13,16)/20:1(11))	TG(16:1/22:2/20:1)	TG(16:1_20:1_22:2)	TG(58:4)
TG(16:1(9Z)/22:2(13Z,16Z)/22:1(13Z))	TG(16:1(9Z)/22:2(13Z,16Z)/22:1(13Z))	TG(16:1(9)/22:2(13,16)/22:1(13))	TG(16:1/22:2/22:1)	TG(16:1_22:1_22:2)	TG(60:4)
TG(16:1(9Z)/22:2(13Z,16Z)/22:5(4Z,7Z,10Z,13Z,16Z))	TG(16:1(9Z)/22:2(13Z,16Z)/22:5(4Z,7Z,10Z,13Z,16Z))	TG(16:1(9)/22:2(13,16)/22:5(4,7,10,13,16))	TG(16:1/22:2/22:5)	TG(16:1_22:2_22:5))	TG(60:8)
TG(16:1(9Z)/22:2(13Z,16Z)/22:5(7Z,10Z,13Z,16Z,19Z))	TG(16:1(9Z)/22:2(13Z,16Z)/22:5(7Z,10Z,13Z,16Z,19Z))	TG(16:1(9)/22:2(13,16)/22:5(7,10,13,16,19))	TG(16:1/22:2/22:5)	TG(16:1_22:2_22:5))	TG(60:8)
TG(16:1(9Z)/22:2(13Z,16Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))	TG(16:1(9Z)/22:2(13Z,16Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))	TG(16:1(9)/22:2(13,16)/22:6(4,7,10,13,16,19))	TG(16:1/22:2/22:6)	TG(16:1_22:2_22:6))	TG(60:9)
TG(16:1(9Z)/22:4(7Z,10Z,13Z,16Z)/22:1(13Z))	TG(16:1(9Z)/22:4(7Z,10Z,13Z,16Z)/22:1(13Z))	TG(16:1(9)/22:4(7,10,13,16)/22:1(13))	TG(16:1/22:4/22:1)	TG(16:1_22:1_22:4)	TG(60:6)
TG(16:1(9Z)/22:4(7Z,10Z,13Z,16Z)/22:5(4Z,7Z,10Z,13Z,16Z))	TG(16:1(9Z)/22:4(7Z,10Z,13Z,16Z)/22:5(4Z,7Z,10Z,13Z,16Z))	TG(16:1(9)/22:4(7,10,13,16)/22:5(4,7,10,13,16))	TG(16:1/22:4/22:5)	TG(16:1_22:4_22:5))	TG(60:10)
TG(16:1(9Z)/22:4(7Z,10Z,13Z,16Z)/18:4(6Z,9Z,12Z,15Z))	TG(16:1(9Z)/22:4(7Z,10Z,13Z,16Z)/18:4(6Z,9Z,12Z,15Z))	TG(16:1(9)/22:4(7,10,13,16)/18:4(6,9,12,15))	TG(16:1/22:4/18:4)	TG(16:1_18:4_22:4)	TG(56:9)
TG(16:1(9Z)/22:4(7Z,10Z,13Z,16Z)/22:5(7Z,10Z,13Z,16Z,19Z))	TG(16:1(9Z)/22:4(7Z,10Z,13Z,16Z)/22:5(7Z,10Z,13Z,16Z,19Z))	TG(16:1(9)/22:4(7,10,13,16)/22:5(7,10,13,16,19))	TG(16:1/22:4/22:5)	TG(16:1_22:4_22:5))	TG(60:10)
TG(16:1(9Z)/22:4(7Z,10Z,13Z,16Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))	TG(16:1(9Z)/22:4(7Z,10Z,13Z,16Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))	TG(16:1(9)/22:4(7,10,13,16)/22:6(4,7,10,13,16,19))	TG(16:1/22:4/22:6)	TG(16:1_22:4_22:6))	TG(60:11)
TG(16:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z)/18:3(6Z,9Z,12Z))	TG(16:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z)/18:3(6Z,9Z,12Z))	TG(16:1(9)/22:5(4,7,10,13,16)/18:3(6,9,12))	TG(16:1/22:5/18:3)	TG(16:1_18:3_22:5)	TG(56:9)
TG(16:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z)/22:2(13Z,16Z))	TG(16:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z)/22:2(13Z,16Z))	TG(16:1(9)/22:5(4,7,10,13,16)/22:2(13,16))	TG(16:1/22:5/22:2)	TG(16:1_22:2_22:5)	TG(60:8)
TG(16:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z)/22:4(7Z,10Z,13Z,16Z))	TG(16:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z)/22:4(7Z,10Z,13Z,16Z))	TG(16:1(9)/22:5(4,7,10,13,16)/22:4(7,10,13,16))	TG(16:1/22:5/22:4)	TG(16:1_22:4_22:5)	TG(60:10)
TG(16:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z)/22:5(4Z,7Z,10Z,13Z,16Z))	TG(16:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z)/22:5(4Z,7Z,10Z,13Z,16Z))	TG(16:1(9)/22:5(4,7,10,13,16)/22:5(4,7,10,13,16))	TG(16:1/22:5/22:5)	TG(16:1_22:5_22:5))	TG(60:11)
TG(16:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z)/18:3(9Z,12Z,15Z))	TG(16:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z)/18:3(9Z,12Z,15Z))	TG(16:1(9)/22:5(4,7,10,13,16)/18:3(9,12,15))	TG(16:1/22:5/18:3)	TG(16:1_18:3_22:5)	TG(56:9)
TG(16:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z)/20:5(5Z,8Z,11Z,14Z,17Z))	TG(16:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z)/20:5(5Z,8Z,11Z,14Z,17Z))	TG(16:1(9)/22:5(4,7,10,13,16)/20:5(5,8,11,14,17))	TG(16:1/22:5/20:5)	TG(16:1_20:5_22:5)	TG(58:11)
TG(16:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z)/22:5(7Z,10Z,13Z,16Z,19Z))	TG(16:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z)/22:5(7Z,10Z,13Z,16Z,19Z))	TG(16:1(9)/22:5(4,7,10,13,16)/22:5(7,10,13,16,19))	TG(16:1/22:5/22:5)	TG(16:1_22:5_22:5))	TG(60:11)
TG(16:1(9Z)/18:3(9Z,12Z,15Z)/18:1(11Z))	TG(16:1(9Z)/18:3(9Z,12Z,15Z)/18:1(11Z))	TG(16:1(9)/18:3(9,12,15)/18:1(11))	TG(16:1/18:3/18:1)	TG(16:1_18:1_18:3)	TG(52:5)
TG(16:1(9Z)/18:3(9Z,12Z,15Z)/18:1(9Z))	TG(16:1(9Z)/18:3(9Z,12Z,15Z)/18:1(9Z))	TG(16:1(9)/18:3(9,12,15)/18:1(9))	TG(16:1/18:3/18:1)	TG(16:1_18:1_18:3)	TG(52:5)
